timestamp_utc,Actual Load
2024-01-02 06:30:00+00:00,52993.0
2024-01-02 06:45:00+00:00,54242.0
2024-01-02 07:00:00+00:00,55092.0
2024-01-02 07:15:00+00:00,55931.0
2024-01-02 07:30:00+00:00,56293.0
2024-01-02 07:45:00+00:00,56874.0
2024-01-02 08:00:00+00:00,57140.0
2024-01-02 08:15:00+00:00,57771.0
2024-01-02 08:30:00+00:00,58189.0
2024-01-02 08:45:00+00:00,58626.0
2024-01-02 09:00:00+00:00,58929.0
2024-01-02 09:15:00+00:00,59344.0
2024-01-02 09:30:00+00:00,59659.0
2024-01-02 09:45:00+00:00,60106.0
2024-01-02 10:00:00+00:00,60501.0
2024-01-02 10:15:00+00:00,60786.0
2024-01-02 10:30:00+00:00,61233.0
2024-01-02 10:45:00+00:00,61198.0
2024-01-02 11:00:00+00:00,61306.0
2024-01-02 11:15:00+00:00,61256.0
2024-01-02 11:30:00+00:00,61308.0
2024-01-02 11:45:00+00:00,61209.0
2024-01-02 12:00:00+00:00,61215.0
2024-01-02 12:15:00+00:00,60776.0
2024-01-02 12:30:00+00:00,60477.0
2024-01-02 12:45:00+00:00,59960.0
2024-01-02 13:00:00+00:00,59647.0
2024-01-02 13:15:00+00:00,59830.0
2024-01-02 13:30:00+00:00,59819.0
2024-01-02 13:45:00+00:00,59524.0
2024-01-02 14:00:00+00:00,59927.0
2024-01-02 14:15:00+00:00,60153.0
2024-01-02 14:30:00+00:00,60117.0
2024-01-02 14:45:00+00:00,60071.0
2024-01-02 15:00:00+00:00,60721.0
2024-01-02 15:15:00+00:00,61111.0
2024-01-02 15:30:00+00:00,61712.0
2024-01-02 15:45:00+00:00,62164.0
2024-01-02 16:00:00+00:00,62869.0
2024-01-02 16:15:00+00:00,63139.0
2024-01-02 16:30:00+00:00,63582.0
2024-01-02 16:45:00+00:00,63917.0
2024-01-02 17:00:00+00:00,63482.0
2024-01-02 17:15:00+00:00,62989.0
2024-01-02 17:30:00+00:00,63034.0
2024-01-02 17:45:00+00:00,62783.0
2024-01-02 18:00:00+00:00,62154.0
2024-01-02 18:15:00+00:00,61304.0
2024-01-02 18:30:00+00:00,60870.0
2024-01-02 18:45:00+00:00,60531.0
2024-01-02 19:00:00+00:00,59484.0
2024-01-02 19:15:00+00:00,58329.0
2024-01-02 19:30:00+00:00,57675.0
2024-01-02 19:45:00+00:00,56886.0
2024-01-02 20:00:00+00:00,56050.0
2024-01-02 20:15:00+00:00,55162.0
2024-01-02 20:30:00+00:00,54275.0
2024-01-02 20:45:00+00:00,53624.0
2024-01-02 21:00:00+00:00,53406.0
2024-01-02 21:15:00+00:00,52316.0
2024-01-02 21:30:00+00:00,51484.0
2024-01-02 21:45:00+00:00,50819.0
2024-01-02 22:00:00+00:00,50269.0
2024-01-02 22:15:00+00:00,49156.0
2024-01-02 22:30:00+00:00,48652.0
2024-01-02 22:45:00+00:00,48193.0
2024-01-02 23:00:00+00:00,47165.0
2024-01-02 23:15:00+00:00,46112.0
2024-01-02 23:30:00+00:00,46007.0
2024-01-02 23:45:00+00:00,45266.0
2024-01-03 00:00:00+00:00,44813.0
2024-01-03 00:15:00+00:00,44529.0
2024-01-03 00:30:00+00:00,44182.0
2024-01-03 00:45:00+00:00,43817.0
2024-01-03 01:00:00+00:00,43476.0
2024-01-03 01:15:00+00:00,43062.0
2024-01-03 01:30:00+00:00,43159.0
2024-01-03 01:45:00+00:00,43482.0
2024-01-03 02:00:00+00:00,43680.0
2024-01-03 02:15:00+00:00,43461.0
2024-01-03 02:30:00+00:00,43589.0
2024-01-03 02:45:00+00:00,43895.0
2024-01-03 03:00:00+00:00,44350.0
2024-01-03 03:15:00+00:00,44862.0
