,fold,actual_mean,actual_std,predicted_mean,predicted_std,model
44,9,78.5640948275862,46.49847551117066,82.24362273789656,38.62511679453271,XGBOOST_DS1
45,1,76.57114247311829,29.218222934533244,88.73839895510751,37.41827587426625,LSTM_DS1
46,2,61.335847701149426,21.30567466881343,75.91591533433908,34.208664381362,LSTM_DS1
47,3,64.68216397849463,26.28837816736225,66.2253426498656,24.69573930660826,LSTM_DS1
48,4,62.384236111111115,41.408785643674875,61.97375664297917,31.516955256176125,LSTM_DS1
49,5,67.42039650537635,44.17657859366547,75.07358695256721,38.566044975114195,LSTM_DS1
50,6,72.89647222222222,47.747058793402594,74.55777563595834,38.07164596620262,LSTM_DS1
51,7,67.69913978494624,46.23552142875989,74.3634310658199,43.74163441910257,LSTM_DS1
52,8,82.01253360215054,49.50141112973114,77.72307980110216,39.888461783355744,LSTM_DS1
53,9,78.5640948275862,46.49847551117066,74.58072424086207,36.20654219638138,LSTM_DS1
54,1,76.57114247311829,29.218222934533244,90.33123701876522,42.876291761287405,GAM_DS1
55,2,61.335847701149426,21.30567466881343,79.09068753697781,34.89858019315739,GAM_DS1
56,3,64.68216397849463,26.28837816736225,60.64084918341973,34.7111820742933,GAM_DS1
57,4,62.384236111111115,41.408785643674875,55.29525785766478,36.06668826599611,GAM_DS1
58,5,67.42039650537635,44.17657859366547,68.20238637247579,42.79747001606183,GAM_DS1
59,6,72.89647222222222,47.747058793402594,71.00554628181717,46.51351765125923,GAM_DS1
60,7,67.69913978494624,46.23552142875989,72.66045237852194,47.37019478597144,GAM_DS1
61,8,82.01253360215054,49.50141112973114,66.75911338340943,48.10296960232715,GAM_DS1
62,9,78.5640948275862,46.49847551117066,81.34059720002487,37.23648059568032,GAM_DS1
63,1,76.57114247311829,29.218222934533244,89.31728986111558,43.997583845413864,IGANN_DS1
64,2,61.335847701149426,21.30567466881343,84.73025244732759,38.23395919700903,IGANN_DS1
65,3,64.68216397849463,26.28837816736225,65.29749767935887,33.21775257114112,IGANN_DS1
66,4,62.384236111111115,41.408785643674875,56.587126522805555,35.96723027556372,IGANN_DS1
67,5,67.42039650537635,44.17657859366547,79.62508996096774,41.86539178986849,IGANN_DS1
68,6,72.89647222222222,47.747058793402594,78.11047918671667,42.82394369036844,IGANN_DS1
69,7,67.69913978494624,46.23552142875989,74.60783546850807,44.302532044584595,IGANN_DS1
70,8,82.01253360215054,49.50141112973114,70.188130129457,46.36013972112988,IGANN_DS1
71,9,78.5640948275862,46.49847551117066,81.9527477912931,36.72986259012864,IGANN_DS1
