,Fold,rmse,mae,sde,smape,Model,,,,,,,,
67,5,21.1302,17.1049,12.406,43.5185,IGANN_DS1,,,,,,,,
68,6,20.0427,15.4122,12.813,38.7618,IGANN_DS1,,,,,,,,
69,7,17.9509,13.8629,11.4041,37.5487,IGANN_DS1,,,,,,,,
70,8,22.9173,17.1389,15.2139,40.81,IGANN_DS1,,,,,,,,
71,9,21.6671,14.2123,16.3546,37.5401,IGANN_DS1,,,,,,,,
72,1,23.8479,18.1646,15.4522,27.9985,MLP_DS1,,,,,,,,
73,2,29.0567,24.1026,16.2283,38.3263,MLP_DS1,,,,,,,,
74,3,15.4578,11.5291,10.2968,25.3431,MLP_DS1,,,,,,,,
75,4,19.2641,14.5099,12.6717,45.4275,MLP_DS1,,,,,,,,
76,5,19.353,14.0472,13.3122,39.1061,MLP_DS1,,,,,,,,
77,6,20.1562,15.1965,13.2416,41.3434,MLP_DS1,,,,,,,,
78,7,21.1059,16.358,13.337,42.1879,MLP_DS1,,,,,,,,
79,8,24.3265,18.6318,15.6408,44.7435,MLP_DS1,,,,,,,,
80,9,22.0742,16.5911,14.5605,39.9868,MLP_DS1,,,,,,,,
81,1,32.7583,27.57,17.6919,37.5633,GRU_DS1,,,,,,,,
82,2,32.1734,28.3895,15.1381,42.9735,GRU_DS1,,,,,,,,
83,3,15.9906,12.0189,10.5473,26.375,GRU_DS1,,,,,,,,
84,4,19.2856,14.576,12.6284,42.2725,GRU_DS1,,,,,,,,
85,5,18.672,14.0607,12.2858,40.527,GRU_DS1,,,,,,,,
86,6,18.2079,13.2937,12.4422,38.5999,GRU_DS1,,,,,,,,
87,7,19.8003,14.9631,12.9676,43.3106,GRU_DS1,,,,,,,,
88,8,24.2134,18.0929,16.0914,45.3026,GRU_DS1,,,,,,,,
89,9,22.0756,15.3599,15.8558,38.3605,GRU_DS1,,,,,,,,
90,1,26.6614,22.6011,14.1428,31.9967,CNN_DS1,,,,,,,,
91,2,29.2451,25.6337,14.0779,38.965,CNN_DS1,,,,,,,,
92,3,13.7251,10.9519,8.2726,25.5384,CNN_DS1,,,,,,,,
93,4,16.0068,11.8546,10.7558,38.3095,CNN_DS1,,,,,,,,
94,5,16.9082,13.3018,10.4379,38.8634,CNN_DS1,,,,,,,,
95,6,19.4324,14.34,13.1142,38.813,CNN_DS1,,,,,,,,
96,7,16.703,12.6508,10.9064,37.3587,CNN_DS1,,,,,,,,
97,8,24.729,19.2092,15.5734,45.0354,CNN_DS1,,,,,,,,
98,9,20.4406,13.4461,15.3955,37.502,CNN_DS1,,,,,,,,
